GS1 Application Identifiers
https://www.gs1.org/standards/barcodes/application-identifiers?lang=es



AI       Descripción                                                                                                                                      Formato                    Titulo                                 FNC1          Expresión regular                                                         
00       Código Seriado de Contenedor de Embarque (SSCC)                                                                                                  N2+N18       		     SSCC                                   No            ^00(\d{18})$                                                                                            
01	 Número Global de Artículo Comercial (GTIN)                                                                                                       N2+N14       		     GTIN                                   No            ^01(\d{14})$                                                                                            
02	 GTIN de los artículos comerciales contenidos                                                                                                     N2+N14       		     CONTENT                                No            ^02(\d{14})$                                                                                            
10	 Lote o número de lote                                                                                                                            N2+X..20     		     BATCH/LOT                              Si            ^10([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                         
11	 Fecha de producción (AAMMDD)                                                                                                                     N2+N6        		     PROD DATE                              No            ^11(\d{6})$                                                                                             
12	 Fecha de vencimiento de pago (AAMMDD)                                                                                                            N2+N6        		     DUE DATE                               No            ^12(\d{6})$                                                                                             
13	 Fecha de envasado (AAMMDD)                                                                                                                       N2+N6        		     PACK DATE                              No            ^13(\d{6})$                                                                                             
15	 Fecha de consumo preferente (AAMMDD)                                                                                                             N2+N6        		     BEST BEFORE or BEST BY                 No            ^15(\d{6})$                                                                                             
16	 Última fecha de venta (AAMMDD)                                                                                                                   N2+N6        		     SELL BY                                No            ^16(\d{6})$                                                                                             
17	 Fecha de vencimiento (AAMMDD)                                                                                                                    N2+N6        		     USE BY OR EXPIRY                       No            ^17(\d{6})$                                                                                             
20	 Variante de producto interno                                                                                                                     N2+N2        		     VARIANT                                No            ^20(\d{2})$                                                                                             
21	 Número de serie                                                                                                                                  N2+X..20     		     SERIAL                                 Si            ^21([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                         
22	 Variante de producto de consumo                                                                                                                  N2+X..20     		     CPV                                    Si            ^22([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                         
235	 Extensión serializada controlada de GTIN de terceros (TPX)                                                                                       N3+X..28     		     TPX                                    No            243([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,28})$                                         
240	 Identificación de producto adicional asignado por el fabricante                                                                                  N3+X..30     		     ADDITIONAL ID                          Si            ^240([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$                                        
241	 Número de pieza del cliente                                                                                                                      N3+X..30     		     CUST. PART NO.                         Si            ^241([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$                                        
242	 Número de variación de “mandado a hacer”                                                                                                         N3+N..6      		     MTO VARIANT                            Si            ^242(\d{0,6})$                                                                                          
243	 Número de componente de empaque                                                                                                                  N3+X..20     		     PCN                                    Si            ^243([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,20})$                                        
250	 Número de serie secundario                                                                                                                       N3+X..30     		     SECONDARY SERIAL                       Si            ^250([\x21-\x22\x25-\x2F\x30-\x39\x41-\x5A\x5F\x61-\x7A]{0,30})$                                        
